"","time","actor1","actor2"
"297",14214.8333333333,"EASTLAKE","CLOVER"
"299",14225.5833333333,"PRIMERA.FLATS","CLARENCE.ST"
"300",14258.0833333333,"CLOVER","EASTLAKE"
"301",14308.3333333333,"LOCKE","TINY.DUKES"
"302",14358.3333333333,"TINY.BOYS","KAM"
"303",14395.4166666667,"TMC","CUATRO.FLATS"
"304",14396.0833333333,"VNE","INDIANA.DUKES"
"305",14396.6666666667,"CUATRO.FLATS","CLARENCE.ST"
"306",14396.75,"VNE","X8TH.STREET"
"307",14397,"EASTLAKE","CLOVER"
"309",14496,"EASTLAKE","CLOVER"
"310",14734.6666666667,"KAM","LIL.EASTSIDE"
"311",14762.75,"KAM","VICKY.S.TOWN"
"312",14859,"X8TH.STREET","OPAL.ST"
"313",14909.5,"CLOVER","AVENUES"
"314",14942,"TINY.BOYS","MC.FORCE"
"315",15016.75,"AVENUES","HIGHLAND.PARK"
"317",15220.5833333333,"LOCKE","X18TH.STREET"
"319",15317.1666666667,"TINY.BOYS","STATE.ST"
"320",15571.8333333333,"LINCOLN.HEIGHTS","EASTLAKE"
"321",15629.0166666667,"OPAL.ST","WHITE.FENCE"
"322",15698,"ROSE.HILLS","HIGHLAND.PARK"
"323",15720.4166666667,"MC.FORCE","TINY.DUKES"
"325",15837.9166666667,"CLOVER","EASTLAKE"
"326",15847,"WHITE.FENCE","X8TH.STREET"
"327",15890.6666666667,"CLARENCE.ST","PRIMERA.FLATS"
"328",15911,"STATE.ST","KAM"
"329",15980.75,"OPAL.ST","WHITE.FENCE"
"330",16151.1666666667,"PRIMERA.FLATS","CLARENCE.ST"
"331",16195.6666666667,"LOCKE","TINY.DUKES"
"332",16227.75,"EVERGREEN","WHITE.FENCE"
"333",16276.5833333333,"KAM","SENTINEL.BOYS"
"334",16342.5,"X8TH.STREET","OPAL.ST"
"335",16746.8333333333,"X8TH.STREET","OPAL.ST"
"336",16891,"CLOVER","EASTLAKE"
"337",16904.5,"LOCKE","TINY.DUKES"
"338",16972.3333333333,"AVENUES","HIGHLAND.PARK"
"339",16998.05,"TMC","CUATRO.FLATS"
"340",17063.5,"X8TH.STREET","VNE"
"341",17092,"EASTLAKE","CLOVER"
"342",17112.25,"EASTLAKE","CLOVER"
"343",17131.3333333333,"CLOVER","EASTLAKE"
"344",17184.25,"MC.FORCE","EVERGREEN"
"345",17275,"MC.FORCE","VNE"
"346",17352.5,"VICKY.S.TOWN","KAM"
"347",17400.75,"VNE","WHITE.FENCE"
"348",17404.95,"OPAL.ST","VNE"
"349",17427.25,"EASTLAKE","LINCOLN.HEIGHTS"
"350",17493,"TINY.DUKES","MC.FORCE"
"351",17546.5,"VICKY.S.TOWN","SENTINEL.BOYS"
"352",17576.6666666667,"LOWELL","LOCKE"
"353",17580.0833333333,"PRIMERA.FLATS","STATE.ST"
"354",17663.75,"STATE.ST","TINY.BOYS"
"355",17664.75,"STATE.ST","TINY.BOYS"
"356",17708.5,"EASTLAKE","LINCOLN.HEIGHTS"
"357",17738.4166666667,"EASTLAKE","CLOVER"
"358",17780.5,"EVERGREEN","WHITE.FENCE"
"359",17782,"CLOVER","EASTLAKE"
"360",17806.8333333333,"EASTLAKE","LINCOLN.HEIGHTS"
"361",17951.6666666667,"EVERGREEN","CLARENCE.ST"
"362",17970.5,"HAPPY.VALLEY","WHITE.FENCE"
"363",18003.25,"KAM","EASTLAKE"
"364",18023.9166666667,"PRIMERA.FLATS","TMC"
"365",18028.4166666667,"LOWELL","LOCKE"
"366",18042,"CLOVER","TMC"
"367",18068.8333333333,"X8TH.STREET","VNE"
"368",18076,"X8TH.STREET","OPAL.ST"
"369",18191,"VNE","X8TH.STREET"
"370",18387.4166666667,"X8TH.STREET","VNE"
"371",18395,"TMC","CUATRO.FLATS"
"372",18397.25,"BREED.ST","TINY.DUKES"
"373",18457,"TINY.DUKES","MC.FORCE"
"375",18503.5,"EASTLAKE","CLOVER"
"376",18622.8333333333,"VNE","WHITE.FENCE"
"377",18634.4666666667,"LINCOLN.HEIGHTS","CLOVER"
"378",18690,"KAM","WHITE.FENCE"
"379",18693.8333333333,"CLOVER","LINCOLN.HEIGHTS"
"380",18714.75,"KAM","WHITE.FENCE"
"381",18746.4166666667,"X8TH.STREET","VNE"
"382",19075,"OPAL.ST","VNE"
"383",19145.5,"CUATRO.FLATS","TMC"
"385",19263.25,"VNE","X8TH.STREET"
"386",19263.5,"VNE","X8TH.STREET"
"387",19310,"VNE","WHITE.FENCE"
"388",19339.5,"METRO.13","WHITE.FENCE"
"391",19803.9166666667,"LOCKE","LOWELL"
"392",19889.3333333333,"LINCOLN.HEIGHTS","EASTLAKE"
"393",19940,"CUATRO.FLATS","WHITE.FENCE"
"394",19945,"X8TH.STREET","OPAL.ST"
"395",20068,"X8TH.STREET","VNE"
"396",20110.8333333333,"MC.FORCE","TINY.DUKES"
